,Title,Year,User Score,Description,Director,Screenplay,Type,Revenue,Length,Budget,Original Language,Videos,Backdrops,Posters
60,The Nightmare Before Christmas,1993,78,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",Henry Selick,Caroline Thompson,"Fantasy, Animation, Family","$75,634,409.00",1h 16m,"$18,000,000.00",English,7,48,106
61,No Voltees,2024,80,"When two siblings return to their childhood home, they are confronted by a violent, supernatural presence that dwells deep within their worst traumas.",Alejandro Hidalgo,N/A,Horror,-,1h 35m,-,Spanish; Castilian,2,1,2
62,Joker,2019,82,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Todd Phillips,N/A,"Crime, Thriller, Drama","$1,078,958,629.00",2h 2m,"$55,000,000.00",English,31,77,267
63,Furiosa: A Mad Max Saga,2024,75,"As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",George Miller,N/A,"Action, Adventure, Science Fiction","$172,775,791.00",2h 29m,"$170,000,000.00",English,21,104,281
64,Skinford 2: The Curse,2024,20,We don't have an overview translated in English. Help us expand our database by adding one.,Nik Kacevski,N/A,"Thriller, Action",-,N/A,-,Spanish; Castilian,N/A,N/A,N/A
65,Japanese Mom,2017,59,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",Kim Moo-won,N/A,"Romance, Drama",-,1h 31m,-,Korean,N/A,N/A,N/A
66,Tatsulok: Tatlo Magkasalo,2024,70,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",Jojo Nadela,N/A,"Drama, Romance",-,1h 1m,-,Tagalog,0,2,1
67,Kill,2024,72,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",Nikhil Nagesh Bhat,Nikhil Nagesh Bhat,"Action, Crime, Thriller, Drama","$5,400,000.00",1h 45m,"$3,000,000.00",Hindi,3,12,41
68,Beetlejuice,1988,74,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,Tim Burton,Michael McDowell,"Fantasy, Comedy","$84,554,197.00",1h 32m,"$15,000,000.00",English,9,47,108
69,The Convert,2024,62,"Munro, a soldier turned lay preacher, comes to New Zealand to minister to the first British colonists, but he is converted by the powerful chief Maianui to serve a different purpose.",Lee Tamahori,Lee Tamahori,"Action, Drama","$692,018.00",1h 59m,-,English,2,8,12
70,Saving Bikini Bottom: The Sandy Cheeks Movie,2024,62,"When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town.",Liza Johnson,N/A,"Animation, Comedy, Adventure, Family",-,1h 27m,"$100,000,000.00",English,5,19,49
71,Dragonkeeper,2024,73,"Set in Han Imperial China, the plot follows the adventures of enslaved girl Ping with ancient dragon Long Danzi. Dragons had been banished from the kingdom. Ping, an orphan, finds one of the last remaining dragon eggs. Palace guards force Ping to run away in order to return the dragon egg to the ocean and save all dragons from extinction. Ping discovers that she is a true Dragonkeeper.",Salvador Simó,Carole Wilkinson,"Action, Adventure, Animation, Family, Fantasy","$5,427,272.00",1h 39m,"$25,600,000.00",Chinese,2,9,42
72,Caddo Lake,2024,73,"When an 8-year-old girl mysteriously vanishes, a series of past deaths and disappearances begins to link together.",Logan George,Logan George,"Drama, Mystery, Thriller, Science Fiction",-,1h 44m,-,English,2,13,29
73,Civil War,2024,69,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",Alex Garland,N/A,"War, Action, Drama",-,1h 49m,"$50,000,000.00",English,14,55,224
74,Prey,2024,63,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,Mukunda Michael Dewil,N/A,"Action, Thriller, Horror",-,1h 26m,-,English,4,14,19
75,Hounds of War,2024,65,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",Isaac Florentine,N/A,"Action, Thriller",-,1h 34m,-,English,3,18,21
76,Godzilla x Kong: The New Empire,2024,72,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Adam Wingard,Simon Barrett,"Action, Adventure, Science Fiction","$567,156,493.00",1h 55m,"$150,000,000.00",English,28,121,292
77,King of Killers,2023,65,"Garan is a part of a group of international hitmen who are contracted to take out the most dangerous killer in the world, only to find out that they're the ones being hunted.",Kevin Grevioux,N/A,"Action, Thriller",-,1h 31m,-,English,6,15,22
78,Longlegs,2024,67,"FBI Agent Lee Harker is assigned to an unsolved serial killer case that takes an unexpected turn, revealing evidence of the occult. Harker discovers a personal connection to the killer and must stop him before he strikes again.",Osgood Perkins,N/A,"Horror, Crime","$102,469,694.00",1h 41m,"$10,000,000.00",English,17,85,238
79,xXx,2002,59,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",Rob Cohen,Rich Wilkes,"Action, Adventure, Thriller, Crime","$277,448,382.00",2h 4m,"$70,000,000.00",English,1,21,63
80,Descendants: The Rise of Red,2024,70,"After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path.",Jennifer Phang,N/A,"Fantasy, Adventure, Family, Comedy",-,1h 32m,-,English,26,63,63
81,Smile,2022,67,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",Parker Finn,N/A,"Horror, Mystery","$217,408,513.00",1h 55m,"$17,000,000.00",English,9,39,141
82,10 Lives,2024,82,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey.",Christopher Jenkins,Christopher Jenkins,"Animation, Comedy, Family, Fantasy",-,1h 24m,-,English,4,5,45
83,"Miraculous World, London: At the Edge of Time",2024,70,"Marinette, now Chronobug, and Bunnyx must save the future by resolving the mystery of who dicovered Marinette's identity as Ladybug, when, and how they stole her Miraculous. Throughout the adventure, they learn that the Butterfly Miraculous has a new holder, the one who unraveled the ultimate secret. Ladybug's only hope is to defeat her opponent to prevent the end of Ladybug.",Thomas Astruc,N/A,"Animation, Adventure, Action, Fantasy",-,49m,-,French,0,19,6
84,The Gigolo,2015,50,"Fung looks like a super-heartthrob and was bon with a special endowment, making him the high school idol. He was expelled from school when he was caught fighting on campus. When his mom, the sole provider of his family with her poultry business, had to stop working due to her back problems, Fung decides to support his family financially. And from that moment, his life takes on a tumultuous change…",Amen Au Cheuk-Man,Amen Au Cheuk-Man,"Romance, Drama, Comedy","$709,136.00",1h 37m,-,Cantonese,0,5,9
85,Blink Twice,2024,68,"When tech billionaire Slater King meets cocktail waitress Frida at his fundraising gala, he invites her to join him and his friends on a dream vacation on his private island. But despite the epic setting, beautiful people, ever-flowing champagne, and late-night dance parties, Frida can sense that there’s something sinister hiding beneath the island’s lush façade.",Zoë Kravitz,N/A,"Mystery, Thriller, Horror","$43,555,474.00",1h 43m,"$20,000,000.00",English,18,28,98
